request_id,app_id,point_x,point_y,entry_node,node_1,node_2,node_3,propagation_ms,processing_ms,latency_max_ms,slo_violation,total_ms,status
1,APP-EME,47.592597,7.898549,UAV-174,UAV-194,UAV-275,UAV-129,2260.442724,120.000000,1300.000000,YES,2380.442724,OK
2,APP-EME,48.447223,6.781821,UAV-174,UAV-151,UAV-095,UAV-308,2403.749451,120.000000,1300.000000,YES,2523.749451,OK
3,APP-EME,46.168103,7.893124,UAV-168,UAV-168,UAV-252,UAV-308,838.553040,120.000000,1300.000000,NO,958.553040,OK
4,APP-EME,49.107637,6.206800,UAV-326,UAV-153,UAV-275,UAV-142,1465.156671,120.000000,1300.000000,YES,1585.156671,OK
5,APP-EME,48.371488,7.281535,UAV-174,UAV-186,UAV-281,UAV-282,2261.444519,120.000000,1300.000000,YES,2381.444519,OK
6,APP-EME,47.993108,7.367883,UAV-174,UAV-194,UAV-281,UAV-282,2286.930806,120.000000,1300.000000,YES,2406.930806,OK
7,APP-EME,45.267565,7.114856,UAV-320,UAV-161,UAV-095,UAV-308,553.827298,120.000000,1300.000000,NO,673.827298,OK
8,APP-EME,49.834547,7.277452,UAV-327,UAV-168,UAV-252,UAV-111,2825.184953,120.000000,1300.000000,YES,2945.184953,OK
9,APP-EME,49.148902,7.713104,UAV-327,UAV-168,UAV-281,UAV-282,2785.067294,120.000000,1300.000000,YES,2905.067294,OK
10,APP-EME,46.801254,7.672203,UAV-272,UAV-168,UAV-275,UAV-152,962.037987,120.000000,1300.000000,NO,1082.037987,OK
11,APP-EME,45.243907,7.966978,UAV-161,UAV-161,UAV-095,UAV-116,510.290542,120.000000,1300.000000,NO,630.290542,OK
12,APP-EME,46.989141,7.144597,UAV-174,UAV-186,UAV-252,UAV-308,2485.482114,120.000000,1300.000000,YES,2605.482114,OK
13,APP-EME,48.939212,7.876168,UAV-327,UAV-168,UAV-281,UAV-282,2669.630975,120.000000,1300.000000,YES,2789.630975,OK
14,APP-EME,48.649607,6.781143,UAV-174,UAV-151,UAV-281,UAV-282,2351.761550,120.000000,1300.000000,YES,2471.761550,OK
15,APP-EME,46.440101,6.852042,UAV-167,UAV-166,UAV-095,UAV-111,1670.569400,120.000000,1300.000000,YES,1790.569400,OK
16,APP-EME,49.611253,7.272515,UAV-327,UAV-168,UAV-252,UAV-116,2982.626217,120.000000,1300.000000,YES,3102.626217,OK
17,APP-EME,47.552612,7.065482,UAV-174,UAV-153,UAV-275,UAV-154,2391.493628,120.000000,1300.000000,YES,2511.493628,OK
18,APP-EME,49.800133,7.643360,UAV-327,UAV-168,UAV-281,UAV-282,2763.037252,120.000000,1300.000000,YES,2883.037252,OK
19,APP-EME,45.800953,6.482834,UAV-167,UAV-166,UAV-095,UAV-111,1592.264497,120.000000,1300.000000,YES,1712.264497,OK
20,APP-EME,49.166151,7.038207,UAV-327,UAV-168,UAV-252,UAV-116,3013.558667,120.000000,1300.000000,YES,3133.558667,OK
21,APP-EME,49.789867,6.522411,UAV-181,UAV-194,UAV-275,UAV-155,997.232047,120.000000,1300.000000,NO,1117.232047,OK
22,APP-EME,48.252791,6.465046,UAV-326,UAV-211,UAV-281,UAV-282,1509.402085,120.000000,1300.000000,YES,1629.402085,OK
23,APP-EME,45.059327,6.505261,UAV-167,UAV-166,UAV-281,UAV-282,1631.162775,120.000000,1300.000000,YES,1751.162775,OK
24,APP-EME,45.327528,7.417818,UAV-320,UAV-161,UAV-095,UAV-308,659.330013,120.000000,1300.000000,NO,779.330013,OK
25,APP-EME,49.796276,7.587176,UAV-327,UAV-168,UAV-252,UAV-120,3120.284996,120.000000,1300.000000,YES,3240.284996,OK
26,APP-EME,46.794470,7.696772,UAV-272,UAV-168,UAV-275,UAV-169,1014.616574,120.000000,1300.000000,NO,1134.616574,OK
27,APP-EME,48.357030,6.364270,UAV-326,UAV-262,UAV-281,UAV-282,1535.255729,120.000000,1300.000000,YES,1655.255729,OK
28,APP-EME,49.804472,7.569751,UAV-327,UAV-168,UAV-095,UAV-308,2830.363891,120.000000,1300.000000,YES,2950.363891,OK
29,APP-EME,45.368261,7.311206,UAV-320,UAV-161,UAV-252,UAV-311,608.332506,120.000000,1300.000000,NO,728.332506,OK
30,APP-EME,49.342279,6.810011,UAV-327,UAV-168,UAV-275,UAV-155,3137.136861,120.000000,1300.000000,YES,3257.136861,OK
31,APP-EME,45.852653,6.278868,UAV-167,UAV-166,UAV-281,UAV-282,1646.158644,120.000000,1300.000000,YES,1766.158644,OK
32,APP-EME,47.618613,6.643508,UAV-174,UAV-186,UAV-275,UAV-129,2581.760007,120.000000,1300.000000,YES,2701.760007,OK
33,APP-EME,46.035998,7.661933,UAV-168,UAV-168,UAV-281,UAV-282,947.015456,120.000000,1300.000000,NO,1067.015456,OK
34,APP-EME,47.595897,6.959450,UAV-174,UAV-151,UAV-095,UAV-111,2553.591148,120.000000,1300.000000,YES,2673.591148,OK
35,APP-EME,45.702794,7.299005,UAV-167,UAV-166,UAV-252,UAV-116,1690.753816,120.000000,1300.000000,YES,1810.753816,OK
36,APP-EME,46.159426,7.850816,UAV-168,UAV-168,UAV-281,UAV-282,945.651410,120.000000,1300.000000,NO,1065.651410,OK
37,APP-EME,47.701561,6.394685,UAV-326,UAV-153,UAV-095,UAV-120,1630.679116,120.000000,1300.000000,YES,1750.679116,OK
38,APP-EME,46.116660,6.417730,UAV-167,UAV-166,UAV-252,UAV-308,1760.324667,120.000000,1300.000000,YES,1880.324667,OK
39,APP-EME,45.155868,7.712644,UAV-161,UAV-161,UAV-275,UAV-142,543.360721,120.000000,1300.000000,NO,663.360721,OK
40,APP-EME,47.538527,6.260337,UAV-326,UAV-156,UAV-281,UAV-282,1575.887777,120.000000,1300.000000,YES,1695.887777,OK
41,APP-EME,47.777030,6.358398,UAV-326,UAV-182,UAV-275,UAV-152,1633.841765,120.000000,1300.000000,YES,1753.841765,OK
42,APP-EME,47.674712,6.984309,UAV-174,UAV-186,UAV-281,UAV-282,2445.335982,120.000000,1300.000000,YES,2565.335982,OK
43,APP-EME,47.322483,7.984208,UAV-272,UAV-168,UAV-095,UAV-308,1064.439022,120.000000,1300.000000,NO,1184.439022,OK
44,APP-EME,45.166604,7.543611,UAV-161,UAV-161,UAV-252,UAV-311,597.986474,120.000000,1300.000000,NO,717.986474,OK
45,APP-EME,46.065822,7.810843,UAV-168,UAV-168,UAV-281,UAV-282,1002.287550,120.000000,1300.000000,NO,1122.287550,OK
46,APP-EME,49.946043,7.180565,UAV-181,UAV-194,UAV-095,UAV-111,1057.338412,120.000000,1300.000000,NO,1177.338412,OK
47,APP-EME,46.278168,6.114145,UAV-167,UAV-166,UAV-252,UAV-116,1860.105343,120.000000,1300.000000,YES,1980.105343,OK
48,APP-EME,48.155123,6.422415,UAV-326,UAV-211,UAV-275,UAV-154,1728.374925,120.000000,1300.000000,YES,1848.374925,OK
49,APP-EME,49.597709,7.034720,UAV-327,UAV-168,UAV-281,UAV-282,2773.066336,120.000000,1300.000000,YES,2893.066336,OK
50,APP-EME,46.492844,6.597108,UAV-167,UAV-166,UAV-275,UAV-169,1843.452406,120.000000,1300.000000,YES,1963.452406,OK
51,APP-EME,48.838855,7.890050,UAV-327,UAV-168,UAV-281,UAV-282,3088.703910,120.000000,1300.000000,YES,3208.703910,OK
52,APP-EME,49.575969,6.882315,UAV-327,UAV-168,UAV-095,UAV-120,3078.528294,120.000000,1300.000000,YES,3198.528294,OK
53,APP-EME,45.171030,6.691167,UAV-167,UAV-166,UAV-252,UAV-308,1805.307094,120.000000,1300.000000,YES,1925.307094,OK
54,APP-EME,46.604107,7.840786,UAV-272,UAV-168,UAV-281,UAV-282,1088.461622,120.000000,1300.000000,NO,1208.461622,OK
55,APP-EME,49.003661,7.868181,UAV-327,UAV-168,UAV-275,UAV-155,3101.645727,120.000000,1300.000000,YES,3221.645727,OK
56,APP-EME,48.596382,7.559582,UAV-327,UAV-168,UAV-095,UAV-308,3138.304562,120.000000,1300.000000,YES,3258.304562,OK
57,APP-EME,49.632736,7.271685,UAV-327,UAV-168,UAV-252,UAV-311,3262.030296,120.000000,1300.000000,YES,3382.030296,OK
58,APP-EME,48.987822,6.561216,UAV-174,UAV-262,UAV-281,UAV-282,2412.213185,120.000000,1300.000000,YES,2532.213185,OK
59,APP-EME,48.681611,7.359107,UAV-327,UAV-168,UAV-275,UAV-129,3246.807453,120.000000,1300.000000,YES,3366.807453,OK
60,APP-EME,49.365635,6.698229,UAV-327,UAV-168,UAV-281,UAV-282,2835.107810,120.000000,1300.000000,YES,2955.107810,OK
61,APP-EME,48.925986,7.906866,UAV-327,UAV-168,UAV-095,UAV-111,2921.149516,120.000000,1300.000000,YES,3041.149516,OK
62,APP-EME,45.112493,7.426421,UAV-320,UAV-161,UAV-252,UAV-116,685.804013,120.000000,1300.000000,NO,805.804013,OK
63,APP-EME,49.838848,7.619457,UAV-327,UAV-168,UAV-281,UAV-282,3029.269494,120.000000,1300.000000,YES,3149.269494,OK
64,APP-EME,49.298387,6.792631,UAV-327,UAV-168,UAV-275,UAV-142,3081.532152,120.000000,1300.000000,YES,3201.532152,OK
65,APP-EME,48.012191,7.476958,UAV-174,UAV-262,UAV-095,UAV-120,2611.344822,120.000000,1300.000000,YES,2731.344822,OK
66,APP-EME,45.884414,7.315750,UAV-167,UAV-166,UAV-252,UAV-308,1757.217699,120.000000,1300.000000,YES,1877.217699,OK
67,APP-EME,46.690992,6.043069,UAV-167,UAV-166,UAV-281,UAV-282,1764.828815,120.000000,1300.000000,YES,1884.828815,OK
68,APP-EME,46.372614,7.898811,UAV-168,UAV-168,UAV-275,UAV-152,1056.159909,120.000000,1300.000000,NO,1176.159909,OK
69,APP-EME,49.073524,7.251687,UAV-327,UAV-168,UAV-281,UAV-282,3159.571731,120.000000,1300.000000,YES,3279.571731,OK
70,APP-EME,47.010003,6.115821,UAV-326,UAV-186,UAV-095,UAV-311,1756.065257,120.000000,1300.000000,YES,1876.065257,OK
71,APP-EME,47.968572,6.565713,UAV-174,UAV-151,UAV-252,UAV-308,2574.502067,120.000000,1300.000000,YES,2694.502067,OK
72,APP-EME,49.707370,7.084485,UAV-327,UAV-168,UAV-275,UAV-154,3246.099562,120.000000,1300.000000,YES,3366.099562,OK
73,APP-EME,47.219663,6.253990,UAV-326,UAV-153,UAV-281,UAV-282,1706.683087,120.000000,1300.000000,YES,1826.683087,OK
74,APP-EME,45.785594,7.156553,UAV-167,UAV-166,UAV-095,UAV-111,1790.171866,120.000000,1300.000000,YES,1910.171866,OK
75,APP-EME,49.857046,7.818978,UAV-327,UAV-168,UAV-252,UAV-116,3106.465451,120.000000,1300.000000,YES,3226.465451,OK
76,APP-EME,48.803702,7.088829,UAV-174,UAV-156,UAV-281,UAV-282,2572.135054,120.000000,1300.000000,YES,2692.135054,OK
77,APP-EME,48.707254,7.601101,UAV-327,UAV-182,UAV-275,UAV-155,2794.325511,120.000000,1300.000000,YES,2914.325511,OK
78,APP-EME,48.367867,6.954682,UAV-174,UAV-194,UAV-281,UAV-282,2657.258345,120.000000,1300.000000,YES,2777.258345,OK
79,APP-EME,46.370930,6.296031,UAV-167,UAV-166,UAV-095,UAV-120,1718.695958,120.000000,1300.000000,YES,1838.695958,OK
80,APP-EME,47.231835,6.883080,UAV-174,UAV-211,UAV-252,UAV-308,2500.276452,120.000000,1300.000000,YES,2620.276452,OK
81,APP-EME,47.941637,7.202777,UAV-174,UAV-262,UAV-275,UAV-169,2536.096992,120.000000,1300.000000,YES,2656.096992,OK
82,APP-EME,46.052974,6.896649,UAV-167,UAV-166,UAV-281,UAV-282,1903.632124,120.000000,1300.000000,YES,2023.632124,OK
83,APP-EME,49.286759,6.637118,UAV-174,UAV-330,UAV-095,UAV-311,2709.835124,120.000000,1300.000000,YES,2829.835124,OK
84,APP-EME,48.668427,7.304237,UAV-174,UAV-186,UAV-252,UAV-111,2533.161220,120.000000,1300.000000,YES,2653.161220,OK
85,APP-EME,49.829863,7.833404,UAV-327,UAV-168,UAV-281,UAV-282,3200.794984,120.000000,1300.000000,YES,3320.794984,OK
86,APP-EME,45.277026,7.938527,UAV-161,UAV-161,UAV-275,UAV-152,649.872155,120.000000,1300.000000,NO,769.872155,OK
87,APP-EME,46.410871,7.279799,UAV-167,UAV-166,UAV-281,UAV-282,1964.420344,120.000000,1300.000000,YES,2084.420344,OK
88,APP-EME,46.947213,7.259861,UAV-174,UAV-262,UAV-095,UAV-308,2680.599581,120.000000,1300.000000,YES,2800.599581,OK
89,APP-EME,46.684144,7.338208,UAV-174,UAV-156,UAV-252,UAV-116,2697.426386,120.000000,1300.000000,YES,2817.426386,OK
90,APP-EME,48.449241,7.943119,UAV-327,UAV-151,UAV-275,UAV-154,3132.178066,120.000000,1300.000000,YES,3252.178066,OK
91,APP-EME,48.901735,7.371652,UAV-327,UAV-168,UAV-281,UAV-282,3364.767607,120.000000,1300.000000,YES,3484.767607,OK
92,APP-EME,47.374013,7.143569,UAV-174,UAV-153,UAV-095,UAV-120,2755.224530,120.000000,1300.000000,YES,2875.224530,OK
93,APP-EME,49.207479,7.726703,UAV-327,UAV-182,UAV-252,UAV-308,2911.404540,120.000000,1300.000000,YES,3031.404540,OK
94,APP-EME,49.054782,7.080612,UAV-327,UAV-168,UAV-275,UAV-155,3085.528874,120.000000,1300.000000,YES,3205.528874,OK
95,APP-EME,48.207124,7.540548,UAV-174,UAV-186,UAV-281,UAV-282,2631.127289,120.000000,1300.000000,YES,2751.127289,OK
96,APP-EME,48.015786,6.796206,UAV-174,UAV-194,UAV-281,UAV-282,2658.198211,120.000000,1300.000000,YES,2778.198211,OK
97,APP-EME,45.697832,6.981945,UAV-167,UAV-166,UAV-095,UAV-311,1864.277066,120.000000,1300.000000,YES,1984.277066,OK
