app_id,app_name,service_id,service_name,replica_index,node_id
APP-COM,Communication,COM-S04,Bivouac Broadband,1,UAV-327
APP-SYS,System,SYS-S03,Encryption & Anti-jamming,1,UAV-294
APP-SYS,System,SYS-S03,Encryption & Anti-jamming,2,UAV-131
APP-SYS,System,SYS-S03,Encryption & Anti-jamming,3,UAV-324
APP-SYS,System,SYS-S03,Encryption & Anti-jamming,4,UAV-098
APP-SYS,System,SYS-S03,Encryption & Anti-jamming,5,UAV-328
APP-SYS,System,SYS-S03,Encryption & Anti-jamming,6,UAV-163
APP-SYS,System,SYS-S03,Encryption & Anti-jamming,7,UAV-197
APP-COM,Communication,COM-S01,Voice Communication Core,1,UAV-044
APP-COM,Communication,COM-S01,Voice Communication Core,2,UAV-296
APP-COM,Communication,COM-S01,Voice Communication Core,3,UAV-009
APP-COM,Communication,COM-S01,Voice Communication Core,4,UAV-235
APP-EME,Emergency,EME-S03,Multi-UAV Positioning,1,UAV-120
APP-EME,Emergency,EME-S03,Multi-UAV Positioning,2,UAV-169
APP-EME,Emergency,EME-S03,Multi-UAV Positioning,3,UAV-155
APP-EME,Emergency,EME-S03,Multi-UAV Positioning,4,UAV-282
APP-COM,Communication,COM-S01,Voice Communication Core,5,UAV-036
APP-EME,Emergency,EME-S03,Multi-UAV Positioning,5,UAV-190
APP-EME,Emergency,EME-S03,Multi-UAV Positioning,6,UAV-311
APP-COM,Communication,COM-S01,Voice Communication Core,6,UAV-017
APP-COM,Communication,COM-S01,Voice Communication Core,7,UAV-290
APP-COM,Communication,COM-S01,Voice Communication Core,8,UAV-304
APP-COM,Communication,COM-S01,Voice Communication Core,9,UAV-195
APP-COM,Communication,COM-S01,Voice Communication Core,10,UAV-089
APP-COM,Communication,COM-S01,Voice Communication Core,11,UAV-051
APP-EME,Emergency,EME-S03,Multi-UAV Positioning,7,UAV-154
APP-EME,Emergency,EME-S03,Multi-UAV Positioning,8,UAV-308
APP-COM,Communication,COM-S01,Voice Communication Core,12,UAV-199
APP-COM,Communication,COM-S01,Voice Communication Core,13,UAV-072
APP-COM,Communication,COM-S01,Voice Communication Core,14,UAV-035
APP-EME,Emergency,EME-S03,Multi-UAV Positioning,9,UAV-129
APP-COM,Communication,COM-S01,Voice Communication Core,15,UAV-031
APP-EME,Emergency,EME-S03,Multi-UAV Positioning,10,UAV-152
APP-EME,Emergency,EME-S03,Multi-UAV Positioning,11,UAV-167
APP-COM,Communication,COM-S01,Voice Communication Core,16,UAV-032
APP-COM,Communication,COM-S01,Voice Communication Core,17,UAV-298
APP-COM,Communication,COM-S01,Voice Communication Core,18,UAV-086
APP-EME,Emergency,EME-S03,Multi-UAV Positioning,12,UAV-116
APP-EME,Emergency,EME-S03,Multi-UAV Positioning,13,UAV-111
APP-EME,Emergency,EME-S03,Multi-UAV Positioning,14,UAV-142
APP-COM,Communication,COM-S01,Voice Communication Core,19,UAV-056
APP-EME,Emergency,EME-S04,VoIP / PTT Emergency,1,UAV-173
APP-EME,Emergency,EME-S04,VoIP / PTT Emergency,2,UAV-103
APP-COM,Communication,COM-S01,Voice Communication Core,20,UAV-016
APP-EME,Emergency,EME-S04,VoIP / PTT Emergency,3,UAV-193
APP-EME,Emergency,EME-S04,VoIP / PTT Emergency,4,UAV-101
APP-COM,Communication,COM-S01,Voice Communication Core,21,UAV-201
APP-EME,Emergency,EME-S04,VoIP / PTT Emergency,5,UAV-145
APP-COM,Communication,COM-S01,Voice Communication Core,22,UAV-292
APP-COM,Communication,COM-S01,Voice Communication Core,23,UAV-064
APP-COM,Communication,COM-S01,Voice Communication Core,24,UAV-305
APP-COM,Communication,COM-S01,Voice Communication Core,25,UAV-023
APP-EME,Emergency,EME-S04,VoIP / PTT Emergency,6,UAV-144
APP-COM,Communication,COM-S01,Voice Communication Core,26,UAV-243
APP-EME,Emergency,EME-S04,VoIP / PTT Emergency,7,UAV-121
APP-COM,Communication,COM-S01,Voice Communication Core,27,UAV-024
APP-COM,Communication,COM-S01,Voice Communication Core,28,UAV-008
APP-EME,Emergency,EME-S04,VoIP / PTT Emergency,8,UAV-320
APP-COM,Communication,COM-S01,Voice Communication Core,29,UAV-070
APP-COM,Communication,COM-S01,Voice Communication Core,30,UAV-046
APP-EME,Emergency,EME-S04,VoIP / PTT Emergency,9,UAV-102
APP-COM,Communication,COM-S01,Voice Communication Core,31,UAV-238
APP-EME,Emergency,EME-S04,VoIP / PTT Emergency,10,UAV-104
APP-TEL,Telemetry,TEL-S03,Hazard Detection Engine,1,HAPS-002
APP-EME,Emergency,EME-S04,VoIP / PTT Emergency,11,UAV-267
APP-EME,Emergency,EME-S04,VoIP / PTT Emergency,12,UAV-266
APP-EME,Emergency,EME-S04,VoIP / PTT Emergency,13,UAV-218
APP-EME,Emergency,EME-S04,VoIP / PTT Emergency,14,UAV-270
APP-EME,Emergency,EME-S04,VoIP / PTT Emergency,15,UAV-157
APP-EME,Emergency,EME-S04,VoIP / PTT Emergency,16,UAV-268
APP-COM,Communication,COM-S01,Voice Communication Core,32,UAV-288
APP-COM,Communication,COM-S01,Voice Communication Core,33,UAV-303
APP-COM,Communication,COM-S01,Voice Communication Core,34,UAV-087
APP-EME,Emergency,EME-S04,VoIP / PTT Emergency,17,UAV-149
APP-EME,Emergency,EME-S04,VoIP / PTT Emergency,18,UAV-216
APP-COM,Communication,COM-S01,Voice Communication Core,35,UAV-236
APP-COM,Communication,COM-S01,Voice Communication Core,36,UAV-075
APP-COM,Communication,COM-S01,Voice Communication Core,37,UAV-283
APP-COM,Communication,COM-S01,Voice Communication Core,38,UAV-202
APP-EME,Emergency,EME-S04,VoIP / PTT Emergency,19,UAV-314
APP-COM,Communication,COM-S01,Voice Communication Core,39,UAV-041
APP-EME,Emergency,EME-S04,VoIP / PTT Emergency,20,UAV-137
APP-COM,Communication,COM-S01,Voice Communication Core,40,UAV-289
APP-COM,Communication,COM-S01,Voice Communication Core,41,UAV-091
APP-COM,Communication,COM-S01,Voice Communication Core,42,UAV-228
APP-EME,Emergency,EME-S04,VoIP / PTT Emergency,21,UAV-261
APP-COM,Communication,COM-S01,Voice Communication Core,43,UAV-004
APP-COM,Communication,COM-S01,Voice Communication Core,44,UAV-057
APP-COM,Communication,COM-S01,Voice Communication Core,45,UAV-094
APP-COM,Communication,COM-S01,Voice Communication Core,46,UAV-196
APP-EME,Emergency,EME-S04,VoIP / PTT Emergency,22,UAV-178
APP-COM,Communication,COM-S01,Voice Communication Core,47,UAV-053
APP-COM,Communication,COM-S01,Voice Communication Core,48,UAV-082
APP-COM,Communication,COM-S01,Voice Communication Core,49,UAV-092
APP-EME,Emergency,EME-S04,VoIP / PTT Emergency,23,UAV-310
APP-COM,Communication,COM-S01,Voice Communication Core,50,UAV-022
APP-COM,Communication,COM-S01,Voice Communication Core,51,UAV-297
APP-EME,Emergency,EME-S04,VoIP / PTT Emergency,24,UAV-097
APP-COM,Communication,COM-S02,Push-to-Talk Group,1,UAV-029
APP-COM,Communication,COM-S02,Push-to-Talk Group,2,UAV-058
APP-COM,Communication,COM-S02,Push-to-Talk Group,3,UAV-237
APP-COM,Communication,COM-S02,Push-to-Talk Group,4,UAV-071
APP-EME,Emergency,EME-S04,VoIP / PTT Emergency,25,UAV-175
APP-EME,Emergency,EME-S04,VoIP / PTT Emergency,26,UAV-213
APP-COM,Communication,COM-S02,Push-to-Talk Group,5,UAV-067
APP-EME,Emergency,EME-S04,VoIP / PTT Emergency,27,UAV-176
APP-COM,Communication,COM-S02,Push-to-Talk Group,6,UAV-060
APP-COM,Communication,COM-S02,Push-to-Talk Group,7,UAV-083
APP-COM,Communication,COM-S02,Push-to-Talk Group,8,UAV-217
APP-COM,Communication,COM-S02,Push-to-Talk Group,9,UAV-132
APP-COM,Communication,COM-S02,Push-to-Talk Group,10,UAV-063
APP-COM,Communication,COM-S02,Push-to-Talk Group,11,UAV-118
APP-COM,Communication,COM-S02,Push-to-Talk Group,12,UAV-171
APP-COM,Communication,COM-S02,Push-to-Talk Group,13,UAV-307
APP-COM,Communication,COM-S02,Push-to-Talk Group,14,UAV-160
APP-COM,Communication,COM-S02,Push-to-Talk Group,15,UAV-006
APP-COM,Communication,COM-S02,Push-to-Talk Group,16,UAV-207
APP-COM,Communication,COM-S02,Push-to-Talk Group,17,UAV-005
APP-COM,Communication,COM-S02,Push-to-Talk Group,18,UAV-241
APP-COM,Communication,COM-S02,Push-to-Talk Group,19,UAV-088
APP-COM,Communication,COM-S02,Push-to-Talk Group,20,UAV-007
APP-COM,Communication,COM-S02,Push-to-Talk Group,21,UAV-316
APP-COM,Communication,COM-S02,Push-to-Talk Group,22,UAV-159
APP-COM,Communication,COM-S02,Push-to-Talk Group,23,UAV-215
APP-COM,Communication,COM-S02,Push-to-Talk Group,24,UAV-259
APP-COM,Communication,COM-S02,Push-to-Talk Group,25,UAV-068
APP-COM,Communication,COM-S02,Push-to-Talk Group,26,UAV-185
APP-COM,Communication,COM-S02,Push-to-Talk Group,27,UAV-003
APP-SYS,System,SYS-S01,Network Orchestrator,1,UAV-084
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,1,UAV-203
