app_id,app_name,service_id,service_name,replica_index,node_id
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,1,UAV-327
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,1,UAV-294
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,2,UAV-131
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,2,UAV-324
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,3,UAV-098
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,3,UAV-328
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,4,UAV-163
APP-COM,Communication,COM-S01,Voice Communication Core,1,UAV-197
APP-COM,Communication,COM-S01,Voice Communication Core,2,UAV-044
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,4,UAV-296
APP-COM,Communication,COM-S01,Voice Communication Core,3,UAV-009
APP-COM,Communication,COM-S01,Voice Communication Core,4,UAV-235
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,5,UAV-120
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,5,UAV-169
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,6,UAV-155
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,7,UAV-282
APP-COM,Communication,COM-S01,Voice Communication Core,5,UAV-036
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,8,UAV-190
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,6,UAV-311
APP-COM,Communication,COM-S01,Voice Communication Core,6,UAV-017
APP-COM,Communication,COM-S01,Voice Communication Core,7,UAV-290
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,7,UAV-304
APP-COM,Communication,COM-S01,Voice Communication Core,8,UAV-195
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,8,UAV-089
APP-COM,Communication,COM-S01,Voice Communication Core,9,UAV-051
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,9,UAV-154
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,9,UAV-308
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,10,UAV-199
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,11,UAV-072
APP-COM,Communication,COM-S01,Voice Communication Core,10,UAV-035
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,10,UAV-129
APP-COM,Communication,COM-S01,Voice Communication Core,11,UAV-031
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,11,UAV-152
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,12,UAV-167
APP-COM,Communication,COM-S01,Voice Communication Core,12,UAV-032
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,12,UAV-298
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,13,UAV-086
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,13,UAV-116
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,14,UAV-111
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,14,UAV-142
APP-COM,Communication,COM-S01,Voice Communication Core,13,UAV-056
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,15,UAV-173
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,15,UAV-103
APP-COM,Communication,COM-S01,Voice Communication Core,14,UAV-016
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,16,UAV-193
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,16,UAV-101
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,17,UAV-201
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,17,UAV-145
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,18,UAV-292
APP-COM,Communication,COM-S01,Voice Communication Core,15,UAV-064
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,19,UAV-305
APP-COM,Communication,COM-S01,Voice Communication Core,16,UAV-023
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,18,UAV-144
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,20,UAV-243
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,19,UAV-121
APP-COM,Communication,COM-S01,Voice Communication Core,17,UAV-024
APP-COM,Communication,COM-S01,Voice Communication Core,18,UAV-008
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,20,UAV-320
APP-COM,Communication,COM-S01,Voice Communication Core,19,UAV-070
APP-COM,Communication,COM-S01,Voice Communication Core,20,UAV-046
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,21,UAV-102
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,22,UAV-238
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,23,UAV-104
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,21,HAPS-002
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,22,UAV-267
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,23,UAV-266
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,24,UAV-218
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,25,UAV-270
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,26,UAV-157
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,27,UAV-268
APP-COM,Communication,COM-S01,Voice Communication Core,21,UAV-288
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,24,UAV-303
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,25,UAV-087
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,28,UAV-149
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,29,UAV-216
APP-COM,Communication,COM-S01,Voice Communication Core,22,UAV-236
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,26,UAV-075
APP-COM,Communication,COM-S01,Voice Communication Core,23,UAV-283
APP-COM,Communication,COM-S01,Voice Communication Core,24,UAV-202
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,30,UAV-314
APP-TEL,Telemetry,TEL-S01,GPS Ingestion,27,UAV-041
APP-EME,Emergency,EME-S01,Accident Detection & Alert Ingestion,31,UAV-137
