request_id,service_id,point_x,point_y,entry_node,target_node,target_x,target_y,path_latency_ms,propagation_ms,processing_ms,orig_total_ms,latency_max_ms,slo_violation,total_ms,status
1,EME-S01,48.197134,6.050022,UAV-326,UAV-166,46.000000,3.000000,3.0,7.966155,22.500000,30.466155,500.000000,NO,30.466155,OK
2,EME-S01,49.460898,6.173878,UAV-180,UAV-180,50.000000,5.000000,0.0,1.985455,22.500000,24.485455,500.000000,NO,24.485455,OK
3,EME-S01,45.132680,6.397675,UAV-167,UAV-161,44.000000,8.000000,8.0,17.672441,22.500000,40.172441,500.000000,NO,40.172441,OK
4,EME-S01,49.047152,6.012998,UAV-326,UAV-168,46.000000,9.000000,5.0,12.030650,22.500000,34.530650,500.000000,NO,34.530650,OK
5,EME-S01,49.786065,6.673189,UAV-181,UAV-093,24.000000,-4.000000,40.0,81.492980,22.500000,103.992980,500.000000,NO,103.992980,OK
6,EME-S01,49.035641,7.459464,UAV-327,UAV-168,46.000000,9.000000,12.0,26.861614,22.500000,49.361614,500.000000,NO,49.361614,OK
7,EME-S01,49.147023,7.237040,UAV-327,UAV-168,46.000000,9.000000,23.0,49.278357,22.500000,71.778357,500.000000,NO,71.778357,OK
8,EME-S01,46.139491,6.578776,UAV-167,UAV-166,46.000000,3.000000,14.0,28.006172,22.500000,50.506172,500.000000,NO,50.506172,OK
9,EME-S01,48.178422,6.729664,UAV-174,UAV-153,42.000000,3.000000,31.0,60.815573,22.500000,83.315573,500.000000,NO,83.315573,OK
10,EME-S01,48.240177,7.218262,UAV-174,UAV-168,46.000000,9.000000,38.0,77.093341,22.500000,99.593341,500.000000,NO,99.593341,OK
11,EME-S01,49.947617,7.280000,UAV-181,UAV-113,30.000000,-2.000000,44.0,94.708292,22.500000,117.208292,500.000000,NO,117.208292,OK
12,EME-S01,46.145240,6.064200,UAV-167,UAV-166,46.000000,3.000000,26.0,51.341036,22.500000,73.841036,500.000000,NO,73.841036,OK
13,EME-S01,49.381838,6.629356,UAV-327,UAV-119,32.000000,-4.000000,40.0,84.504294,22.500000,107.004294,500.000000,NO,107.004294,OK
14,EME-S01,46.324401,6.493255,UAV-167,UAV-166,46.000000,3.000000,34.0,69.053666,22.500000,91.553666,500.000000,NO,91.553666,OK
15,EME-S01,46.997003,6.438642,UAV-167,UAV-122,32.000000,8.000000,40.0,78.812416,22.500000,101.312416,500.000000,NO,101.312416,OK
16,EME-S01,45.548246,7.254892,UAV-167,UAV-318,44.000000,1.000000,41.0,79.817379,22.500000,102.317379,500.000000,NO,102.317379,OK
